student_id,form_name,phase_name,academic_year,release_date,evaluator_role,frequency,strengths_comment,improvements_comment,prof_shows_dependability_truthfulness_and_integrity,prof_acknowledges_and_demonstrates_awareness_of_limitations,prof_takes_initiative_for_own_learning_and_patient_care,prof_remains_open_to_feedback_and_attempts_to_implement_it,prof_treats_all_patients_with_respect_and_compassion_protects_patient_confidentiality,comm_listening,comm_decision_making,comm_advocacy,epa1,epa2,epa3,epa5,epa6,epa7,epa9,epa8,epa10,epa4,epa14,comm_other
001dca3071ef3fa402c8463bcc0bb952,2022-23 Neurology Clerkship Clinical Performance Assessment,Phase 2,2022-23 Academic Year,2023-02-06,Resident,Daily ,[REDACTED] was great to work with. His strengths definitely include comprehensiveness and considering the whole picture for every patient. He is extremely committed to being a helpful team member - he would often go out of his way to contact family members before being asked or elicit more comprehensive histories from [REDACTED] light on important information we had not previously gathered.,"[REDACTED] could improve in [REDACTED] focus in [REDACTED] active neurologic problems, and learn to recognize which issues can ""go [REDACTED] backburner"". This is very challenging as a new trainee, and will come with time and [REDACTED]. This will also help [REDACTED]'s presentations to become shorter and more focused, which is something he will benefit from.",3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,,4.0,3.0,3.0,4.0,,,,,
001dca3071ef3fa402c8463bcc0bb952,2022-23 Neurology Clerkship Clinical Performance Assessment,Phase 2,2022-23 Academic Year,2023-02-06,Resident,Daily ,"great rapport with patients, went above and beyond to help the team with tasks that are above what would be expected at [REDACTED]",continue to work on broad differentials,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,,,,,
001dca3071ef3fa402c8463bcc0bb952,2022-23 Neurology Clerkship Clinical Performance Assessment,Phase 2,2022-23 Academic Year,2023-02-06,Attending,Occasional ,"Excellent history taking, thorough exam","Continue practicing neurological exam , continue reading and expanding the depth of your knowledge! [REDACTED] job!",3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,,4.0,4.0,3.0,4.0,,,,,
001dca3071ef3fa402c8463bcc0bb952,2022-23 Neurology Clerkship Clinical Performance Assessment,Phase 2,2022-23 Academic Year,2023-02-06,Attending,Occasional ,presentations were concise and focused and well organized- stands out among peers in [REDACTED] enthusiasm for clinical engagement and participation was evident,"some additional work on understanding the neuroanatomy/neurophysiology underlying clinical findings would be one area for improvement, although he was by no means different from [REDACTED] regard",3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,4.0,3.0,3.0,,,,,
001dca3071ef3fa402c8463bcc0bb952,2022-23 Neurology Clerkship Clinical Performance Assessment,Phase 2,2022-23 Academic Year,2023-02-06,Attending,Once,Came prepared and is well read and has a good fund of knowledge,My interaction with him was too short to make any reasonable suggestions.,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,,4.0,3.0,3.0,4.0,,,,,
001dca3071ef3fa402c8463bcc0bb952,2022-23 Pediatrics Clinical Performance Assessment,Phase 2,2022-23 Academic Year,2023-04-27,Attending,Daily ,"[REDACTED] was an exceptional student on [REDACTED] of General Medicine. I was particularly impressed with his communication with parents, patients, and the interdisciplinary care team. For example, we had a patient [REDACTED] overnight with lymphadenopathy, initially concerning for cancer given other reported B symptoms. Before our [REDACTED] rounds, [REDACTED] had clarified the concerning history with the family, developed a relationship with them, and provided a cohesive story showing that the reported B symptoms were much less concerning. He also took on explaining a complex differential to a worried family of a newborn with cholestasis with great attention [REDACTED] family's emotional status and thoughtfully acknowledging the diagnostic uncertainty. I think he took ownership of his patients at a level higher than most sub-interns I have worked with, including determining outpatient follow up and calling PCPs. He had thoughtful requests for feedback and good insights into the areas where he demonstrated improvement, and areas where he wanted to continue to grow.","As I stated above, I think [REDACTED] is above sub-intern level and ready to tackle internship! We discussed areas where he wanted to grow, and these included: developing contingency plans for patients and working to develop organizational strategies for tasks when he carries more patients. One small area of suggestion for improvement is [REDACTED][REDACTED] assessment and plan. For some patients, I found that [REDACTED] included data [REDACTED][REDACTED] than incorporating it into his objective or assessment section. Some of this is style, but other pieces of info would have been helpful to discuss earlier in a note.",3.0,3.0,3.0,3.0,3.0,4.0,4.0,,4.0,4.0,4.0,3.0,4.0,4.0,4.0,,,,,
001dca3071ef3fa402c8463bcc0bb952,2022-23 Pediatrics Clinical Performance Assessment,Phase 2,2022-23 Academic Year,2023-04-27,Attending,Daily ,He did [REDACTED] job getting to know his patients and the overall flow of newborn. He picked up information quickly and was [REDACTED] then use that information [REDACTED] next patient. He gave an impressive presentation on skin findings in [REDACTED] [REDACTED] job teaching on this topic.,Discussed formulating a differential for a [REDACTED] patient,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,
001dca3071ef3fa402c8463bcc0bb952,2022-23 Pediatrics Clinical Performance Assessment,Phase 2,2022-23 Academic Year,2023-05-10,Resident,Daily ,"[REDACTED] was functioning above an intern level. He took complete ownership of his patients and confidently presented management plans, asking [REDACTED] when appropriate. Great family-centered rounding presentations, very concise and pointed. Clearly reading a lot of about his patients. Communicated well with consultants. Excellent closed-loop communication. One of the best students I have worked with [REDACTED]",,3.0,3.0,3.0,3.0,3.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,
001dca3071ef3fa402c8463bcc0bb952,2022-23 Psychiatry Clinical Performance Assessment,Phase 2,2022-23 Academic Year,2022-12-22,Attending,Daily ,"Astute learner, empathic provider, [REDACTED] in a team with highly developed communication skills and professionalism.",Avoid leading or suggesting questions that [REDACTED] confound your clinical impressions.,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,4.0,,,,,
001dca3071ef3fa402c8463bcc0bb952,2022-23 Psychiatry Clinical Performance Assessment,Phase 2,2022-23 Academic Year,2022-12-22,Attending,Daily ,"Was [REDACTED] consistently see patients, gather almost all the relevant information, present in [REDACTED], and contribute to decision making. He often anticipated what patient's would need and took the initiative in a very helpful way. His performance was excellent and ahead of the average.",Continue to work [REDACTED] fluidity of presentations and building your knowledge base.,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,,,,,
001dca3071ef3fa402c8463bcc0bb952,2022-23 Psychiatry Clinical Performance Assessment,Phase 2,2022-23 Academic Year,2022-12-22,Resident,Daily ,"[REDACTED] carried out tasks independently and was a great asset [REDACTED] team. Even though this was only his 2nd clinical rotation after [REDACTED] [REDACTED]-land, I was impressed by how naturally [REDACTED] carried out the psychiatric interview while being both organized and efficient. I fairly [REDACTED] do tasks independently and he was essentially operating at [REDACTED] a sub-I. He also looked up relevant literature in [REDACTED] [REDACTED]nse [REDACTED] patient's care.",Keep up the great work! Already operating at a fairly independent level,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,
001dca3071ef3fa402c8463bcc0bb952,2022-23 Psychiatry Clinical Performance Assessment,Phase 2,2022-23 Academic Year,2022-12-22,Resident,Daily ,"[REDACTED] performed far above the level I would expect for a MS3. He interviewed patients in a way that was sensitive to their current state but was also [REDACTED] collect the necessary information. His notes were exceptional - far above the level of a MS3. He always went above and beyond for his patients - whether it was digging through historical data, gathering collateral, or doing other patient-care related tasks. He was also always asking how he could contribute [REDACTED] team. [REDACTED] will be an excellent addition to psychiatry, or any other field of his choice!","I encourage [REDACTED] to continue building his fund of knowledge, as I would to any other student at [REDACTED]. Otherwise, I very little otherwise to give [REDACTED][REDACTED] constructive feedback - keep up the excellent work!",3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,4.0,,,,,
001dca3071ef3fa402c8463bcc0bb952,2022-23 Surgery Clinical Performance Assessment,Phase 2,2022-23 Academic Year,2022-10-04,Resident,Daily ,"Eager [REDACTED] and contribute, responsible and trustworthy",continue to integrate patient [REDACTED] including pathology and imaging.,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,
001dca3071ef3fa402c8463bcc0bb952,2022-23 Surgery Clinical Performance Assessment,Phase 2,2022-23 Academic Year,2022-11-02,Attending,Weekly ,"Truly outstanding in [REDACTED] - excellent verbal presentations and written notes, self-directed literature searches about specialty-specific topics and patient [REDACTED], outstanding teamwork.",Continue to [REDACTED] your suturing [REDACTED][REDACTED].,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,,,,,
001dca3071ef3fa402c8463bcc0bb952,2022-23 Surgery Clinical Performance Assessment,Phase 2,2022-23 Academic Year,2022-11-03,Attending,Occasional ,"[REDACTED] is [REDACTED] obtain a complete medical history using open-ended questions and perform a good physical exam. He listens carefully [REDACTED] patients. He is [REDACTED] communicate information clearly. He displays good clinical reasoning skills. [REDACTED] always demonstrates sensitivity to patients’ comfort. [REDACTED] has demonstrated knowledge of the clinically relevant anatomy and physiology. [REDACTED] works[REDACTED], nurses, and other [REDACTED] [REDACTED]. He has a good attitude and contributes [REDACTED] team.","[REDACTED] should continue to read to deepen and broaden his knowledge base. Take every opportunity to get hands-on experiences, [REDACTED] performing ultrasound exams, examining patients, and participating in [REDACTED].",3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,,,,,
001dca3071ef3fa402c8463bcc0bb952,2022-23 Surgery Clinical Performance Assessment,Phase 2,2022-23 Academic Year,2022-09-29,Attending,Weekly ,very smart and eager to help,.,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,,,,,
001dca3071ef3fa402c8463bcc0bb952,2022-23 Surgery Clinical Performance Assessment,Phase 2,2022-23 Academic Year,2022-09-29,Resident,Daily ,"[REDACTED] is a very intelligent and thoughtful student. He is very good at [REDACTED], interpreting it and relaying it in [REDACTED] digest manner. During rounds, he was very thorough and always provided a plan that he came up with independently. He was clearly doing his research about the patients' different clinical findings and was [REDACTED] provide treatment plans.",Continue to come up with plans for patient's independently. It will help you feel more accountable for outcomes as a medical student so you are more comfortable with that responsibility as a resident.,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,
02658b5fc44032e48245ce17df7ce847,ECMH Phase 2 Clinical Performance Assessment 2022-23,Phase 2,2022-23 Academic Year,2024-04-12,Attending,Weekly ,"[REDACTED] is an excellent communicator in [REDACTED] form. She teaches the [REDACTED] and [REDACTED] students well as demonstrated by the [REDACTED]/[REDACTED] presentations to me after assessment of the patient. Her clinical assessments are on point, and her fund of knowledge is where she should be at [REDACTED]. She works[REDACTED][REDACTED] an effective teacher [REDACTED][REDACTED].","Continued development of one-on-one teaching with the [REDACTED] and [REDACTED] students. The teaching has been excellent [REDACTED] the didactics, but more comfort with complex cases should continue to develop throughout [REDACTED].",3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,,4.0,4.0,4.0,4.0,,,,,
03f7f5787213d5dbe94e7cc8f1af0528,2022-23 Adult Critical Care (ICU) Clinical Performance Assessment,Phase 3,2022-23 Academic Year,2023-02-14,Fellow,Daily ,Takes initiative and wants to be a member of the team,Continue to talk [REDACTED] nurse before rounds to have most updated information,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,,,
03f7f5787213d5dbe94e7cc8f1af0528,2022-23 Adult Critical Care (ICU) Clinical Performance Assessment,Phase 3,2022-23 Academic Year,2023-02-21,Attending,Daily ,Actively participates on rounds especially in [REDACTED] and organized oral presentations,None specific--continue to build knowledge through clinical experience and independent study.,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,,,
03f7f5787213d5dbe94e7cc8f1af0528,2022-23 Adult Critical Care (ICU) Clinical Performance Assessment,Phase 3,2022-23 Academic Year,2023-02-28,Fellow,Daily ,Student doctor [REDACTED] jumped into ICU rounds and contributed in [REDACTED] chest x-rays [REDACTED]. He was curious and it was clear that he had learned ultrasound skills so that we could work together to answer questions about volume status and pleural effusions.,Now is the time to challenge yourself and learn as much as you can about patients. [REDACTED] be afraid to ask for feedback on handoffs or work on writing notes efficiently. [REDACTED] to pay attention to when your colleagues are presenting as well - there are always things you can learn or help out with,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,,3.0,3.0,,3.0,2.0,2.0,2.0,3.0,,,
03f7f5787213d5dbe94e7cc8f1af0528,2022-23 Adult Critical Care (ICU) Clinical Performance Assessment,Phase 3,2022-23 Academic Year,2023-03-02,Resident,Daily ,Great presentations and communication. Independent formed appropriate diagnoses and plans,Keep reading! Keep working on anticipartory sign outs,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,,,
03f7f5787213d5dbe94e7cc8f1af0528,ECMH Phase 3 Clinical Performance Assessment 2022-23,Phase 3,2022-23 Academic Year,2023-04-12,Attending,Occasional ,"[REDACTED] has taken a giant step forward [REDACTED] in [REDACTED] in [REDACTED]. I am proud to see how he is engaged, and his clinical judgement has developed.",[REDACTED]'s clinical judgement is quite good at [REDACTED] his confidence in [REDACTED] be lagging behind. I would like [REDACTED] to work on presenting his plans without hesitation when he speaks and avoid using filler words [REDACTED] 'um.',3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0,4.0,,4.0,4.0,,4.0,4.0,4.0,,,
0785c7b004d4ec3fcb4bd655bd5b69d5,2022-23 Pediatric Sub-Internship Clinical Performance Assessment,Phase 3,2022-23 Academic Year,2022-08-26,Resident,Daily ,"[REDACTED] has been a wonderful addition [REDACTED] Kidney team [REDACTED]. He has taken ownership of his patients and truly sees [REDACTED] as the frontline provider, [REDACTED], calling consults, and pending orders. He also has done [REDACTED] job of keeping parents and patients updated, and advocated for one of his patients to have a psych consult placed while inpatient [REDACTED] information she disclosed to him. He was also accurately [REDACTED] triage nursing concerns and ask follow-up [REDACTED]ncerning situations – for example, a nurse messaged him that one of his patients had an elevated blood pressure. This [REDACTED] out of the norm, as we are [REDACTED] kidney service and this specific patient [REDACTED] struggling with bp control during this admission. He asked follow-up [REDACTED]at the patient [REDACTED] and was potentially symptomatic from [REDACTED] notified me and went to [REDACTED] her.","Continue to work on forming concise assessments for your oral presentations – this can definitely be difficult with some of our complex patients who have long one-liners and complicated/long [REDACTED] courses before they come to us [REDACTED], but keep working on identifying the salient information to include.",3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,,,3.0,3.0,3.0,3.0,3.0,3.0,
0785c7b004d4ec3fcb4bd655bd5b69d5,2022-23 Pediatric Sub-Internship Clinical Performance Assessment,Phase 3,2022-23 Academic Year,2022-08-26,Resident,Daily ,"[REDACTED] provided high quality patient [REDACTED], enthusiasms [REDACTED], eagerness to engage in [REDACTED] families, and most importantly took the initiative to help with tasks on very busy nights while covering [REDACTED], Kidney and [REDACTED] inpatient services. He always demonstrated a positive attitude and offered to contribute in [REDACTED].",[REDACTED] demonstrated at [REDACTED] above level knowledge and expectations for his level. Also expressed constantly his willingness [REDACTED]. I would recommend to continue applying evidence based knowledge and integrating it into plans and assessments for the patients. Would not recommended any changes in [REDACTED]. Looking forward to continue having him as part of the team.,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,,3.0,3.0,,,3.0,3.0,3.0,3.0,3.0,2.0,
0785c7b004d4ec3fcb4bd655bd5b69d5,2022-23 Pediatric Sub-Internship Clinical Performance Assessment,Phase 3,2022-23 Academic Year,2022-08-26,Attending,Daily ,[REDACTED] demonstrated a strong work ethic and diligence for the care of [REDACTED]. He sought out learning opportunities and saw plans through. He was seen as the primary provider for his patients. He was an active member on rounds for his patients and others.,Is working on patient-centeredness and incorporating families into the medical conversations and decision making.,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,4.0,4.0,,,4.0,4.0,4.0,4.0,4.0,4.0,
0785c7b004d4ec3fcb4bd655bd5b69d5,2022-23 Pediatric Sub-Internship Clinical Performance Assessment,Phase 3,2022-23 Academic Year,2022-08-26,Attending,Daily ,1. Showed tremendous initiative and demonstrated accountability. Was functioning at [REDACTED] complex patients. Presentations were well-organized and efficient. Was truly a team player.,Needs to read more (as do we all!). Presentations need to be diagnoses based rather than systems based when in [REDACTED]-specialty rotations.,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,,3.0,3.0,,,3.0,4.0,4.0,3.0,3.0,3.0,
0785c7b004d4ec3fcb4bd655bd5b69d5,2022-23 Pediatric Sub-Internship Clinical Performance Assessment,Phase 3,2022-23 Academic Year,2022-08-26,Fellow,Daily ,"[REDACTED] was an outstanding medical student. One day our intern and senior resident [REDACTED] [REDACTED]. [REDACTED] took care of [REDACTED] nephrology service without missing a beat. I felt more comfortable going over plans with him than the covering senior residents. [REDACTED] knew all the patients well and I trusted him to follow up labs and closing the loop with nursing, families, and patients. I actually forgot he was a medical student. He always performed at [REDACTED] a resident. During family centered rounds, he presented plans [REDACTED] family with confidence and empathy. You could tell families recognized him as the primary care provider. We were happy to have him in [REDACTED].",[REDACTED] did [REDACTED] job during his time [REDACTED][REDACTED].,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,,4.0,4.0,,,4.0,4.0,4.0,4.0,4.0,4.0,
0785c7b004d4ec3fcb4bd655bd5b69d5,ECMH Phase 3 Clinical Performance Assessment 2022-23,Phase 3,2022-23 Academic Year,2023-04-12,Attending,Occasional ,[REDACTED] is a hardworking and conscientious student. I appreciate the time and thought he has placed into developing our ECMH curriculum and optimized the learning environment for his team. He takes ownership of patients and ensures they receive the optimal care and followup.,Continue to gain experience and read with each patient encounter. I look forward to hearing about your future accomplishments as you continue on in [REDACTED].,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,,4.0,4.0,,4.0,4.0,4.0,,,
083fcf66d730da46c63129fa523dd610,2022-23 Medicine Clinical Performance Assessment,Phase 2,2022-23 Academic Year,2023-01-31,Attending,Daily ,"Open to feedback, seeks actively to improve. Pleasant demeanor and always eager to help out. Tried to bring relevant learning points for rounds.",Avoid medical jargon… has improved significantly but keep working on it,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,
083fcf66d730da46c63129fa523dd610,2022-23 Medicine Clinical Performance Assessment,Phase 2,2022-23 Academic Year,2023-01-31,Attending,Daily ,"Excellent work [REDACTED] - one of the better students I’ve worked with. Very well-balanced. Really strong, well-organized presentations. Really explains thought process in [REDACTED] (moves through good subjective, clear exam, and really nice problem-based assessment/plan). [REDACTED] job of building rapport with patients too. Ex: Pt [REDACTED] support at [REDACTED]/how they need extra help, etc.","Working on taking the lead [REDACTED][REDACTED] (doing [REDACTED] job overall, goes back and talks to patients, they look at [REDACTED] is talking about the plan). Can [REDACTED] streamlined in [REDACTED] patient (making more it more succinct).",3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,
